Master Code,Legacy Code,Category,Sub Category,Brand/Short Code,Item Name,Specification,Unit,Base Rate/Price,GST/TAX,HSN Code,Existing Image URL,Suggested Image Path,Suggested Image File,Match Score,Upload Status
MAT-000136,BATH000136,Bathroom Fittings,Faucet,Generic,Singulier  Wall-mount lavatory faucet with valve without drain,Singulier  Wall-mount lavatory faucet with valve without drain,Nos,"?12,270.00",18%,8593 80 90,,catalog_images/drainage_item_12.jpg,drainage_item_12.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000942,HDPE000942,HDPE Pipe & Fitting,Elbow,Finolex,HDPE Elbow 32mm - Finolex,HDPE Elbow 32mm - Finolex,Nos,?9.90,18%,3945 23 90,,catalog_images/drainage_item_13.jpg,drainage_item_13.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000187,CAST000187,Cast Iron,90?,Generic,CI Pipe Bend - 100mm - 90? - IS3989,CI Pipe Bend - 100mm - 90? - IS3989,Kgs,?80.00,18%,7308 00 90,,catalog_images/drainage_item_14.jpg,drainage_item_14.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000187,CAST000187,Cast Iron,90?,Generic,CI Pipe Bend - 100mm - 90? - IS3989,CI Pipe Bend - 100mm - 90? - IS3989,Kgs,?80.00,18%,7308 00 90,,catalog_images/drainage_item_15.jpg,drainage_item_15.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000128,BATH000128,Bathroom Fittings,Bathroom Fitting,Parryware,"Parryware CONNECTION PIPE 24""","Parryware CONNECTION PIPE 24""",Nos,?80.24,18%,8585 80 90,,catalog_images/drainage_item_16.jpg,drainage_item_16.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000131,BATH000131,Bathroom Fittings,Diverter,Jaquar,Jaquar Concealed body for Single Lever Diverter - 40mm,Jaquar Concealed body for Single Lever Diverter - 40mm,Nos,"?3,120.00",18%,8588 80 90,,catalog_images/drainage_item_17.jpg,drainage_item_17.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000942,HDPE000942,HDPE Pipe & Fitting,Elbow,Finolex,HDPE Elbow 32mm - Finolex,HDPE Elbow 32mm - Finolex,Nos,?9.90,18%,3945 23 90,,catalog_images/drainage_item_18.jpg,drainage_item_18.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000128,BATH000128,Bathroom Fittings,Bathroom Fitting,Parryware,"Parryware CONNECTION PIPE 24""","Parryware CONNECTION PIPE 24""",Nos,?80.24,18%,8585 80 90,,catalog_images/drainage_item_19.jpg,drainage_item_19.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000140,BATH000140,Bathroom Fittings,Basin Mixer,Generic,Single Lever Basin mixer with 450mm braided connection pipe (without pop-up),Single Lever Basin mixer with 450mm braided connection pipe (without pop-up),Nos,"?5,997.00",18%,8597 80 90,,catalog_images/drainage_item_20.jpg,drainage_item_20.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000395,ELEC000395,Electrical -Connectors,Electrical,Havells,Heavy Duty Connector 16A 4P - Havells,Heavy Duty Connector 16A 4P - Havells,Nos,?620.00,18%,8545 42 20,,item_images/item_1_20mm_heavy_duty_conduit_pipe.jpg,item_1_20mm_heavy_duty_conduit_pipe.jpg,3,READY_FOR_IMAGE_UPLOAD
